中文,英文,例句（中英文）,分类,出处,道次第补充目录,页码/日期/题目,备注,,,
功德,the benefits,The benefits of reliance 依止善知识的功德,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
依止,reliance,The benefits of reliance 依止善知识的功德,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
过失,drawbacks,The drawbacks of not replying 不依止的过失,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
相,characteristics,"Characteristics of the one to be relied on, the virtuus spiritual teacher 所依善知识之相",道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
上师/善知识,guru,Identification of a guru 分辨善知识,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
大乘佛地/大乘佛教,the Mahàyàna,the Mahàyàna 大乘佛地,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
上士道,Highest characteristics,1 Highest characteristics 上士道,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
中士道,Middling characteristics,2 Middling characteristics 中士道,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
下士道,Minimum characteristics,3 Minimum characteristics 下士道,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
大乘经庄严论,Mahàyàna Sútras (Mahàyànasútralamkára),In Ornament for the Mahàyàna Sútras (Mahàyànasútralamkára) it says that students need to rely on a spiritual teacher endowed with ten properties 此谓弟子者，须求一具足十德之善知识而依止也,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
十德,ten properties,In Ornament for the Mahàyàna Sútras (Mahàyànasútralamkára) it says that students need to rely on a spiritual teacher endowed with ten properties 此谓弟子者，须求一具足十德之善知识而依止也,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
戒/调伏,discipline,"A spiritual teacher with discipline, calm, complete peace, more qualities, with effort, rich in scriptures who has thoroughly realized suchness, is eloquent, loving, and never disheartened - on that one rely. 善知识须具戒、定、慧、德胜、精进、教富饶、通达真实、善说法、悲悯为体、断疲厌",道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
定/寂静,calm,"A spiritual teacher with discipline, calm, complete peace, more qualities, with effort, rich in scriptures who has thoroughly realized suchness, is eloquent, loving, and never disheartened - on that one rely. 善知识须具戒、定、慧、德胜、精进、教富饶、通达真实、善说法、悲悯为体、断疲厌",道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
慧/极寂静,complete peace,"A spiritual teacher with discipline, calm, complete peace, more qualities, with effort, rich in scriptures who has thoroughly realized suchness, is eloquent, loving, and never disheartened - on that one rely. 善知识须具戒、定、慧、德胜、精进、教富饶、通达真实、善说法、悲悯为体、断疲厌",道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
德胜,more qualities,"A spiritual teacher with discipline, calm, complete peace, more qualities, with effort, rich in scriptures who has thoroughly realized suchness, is eloquent, loving, and never disheartened - on that one rely. 善知识须具戒、定、慧、德胜、精进、教富饶、通达真实、善说法、悲悯为体、断疲厌",道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
精进/具精勤,with effort,"A spiritual teacher with discipline, calm, complete peace, more qualities, with effort, rich in scriptures who has thoroughly realized suchness, is eloquent, loving, and never disheartened - on that one rely. 善知识须具戒、定、慧、德胜、精进、教富饶、通达真实、善说法、悲悯为体、断疲厌",道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
教富饶,rich in scriptures,"A spiritual teacher with discipline, calm, complete peace, more qualities, with effort, rich in scriptures who has thoroughly realized suchness, is eloquent, loving, and never disheartened - on that one rely. 善知识须具戒、定、慧、德胜、精进、教富饶、通达真实、善说法、悲悯为体、断疲厌",道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
通达真实/达实性,who has thoroughly realized suchness,"A spiritual teacher with discipline, calm, complete peace, more qualities, with effort, rich in scriptures who has thoroughly realized suchness, is eloquent, loving, and never disheartened - on that one rely. 善知识须具戒、定、慧、德胜、精进、教富饶、通达真实、善说法、悲悯为体、断疲厌",道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
善说法/善巧说,eloquent,"A spiritual teacher with discipline, calm, complete peace, more qualities, with effort, rich in scriptures who has thoroughly realized suchness, is eloquent, loving, and never disheartened - on that one rely. 善知识须具戒、定、慧、德胜、精进、教富饶、通达真实、善说法、悲悯为体、断疲厌",道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
悲悯为体/具悲悯,loving,"A spiritual teacher with discipline, calm, complete peace, more qualities, with effort, rich in scriptures who has thoroughly realized suchness, is eloquent, loving, and never disheartened - on that one rely. 善知识须具戒、定、慧、德胜、精进、教富饶、通达真实、善说法、悲悯为体、断疲厌",道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
断疲厌/离厌,never disheartened,"A spiritual teacher with discipline, calm, complete peace, more qualities, with effort, rich in scriptures who has thoroughly realized suchness, is eloquent, loving, and never disheartened - on that one rely. 善知识须具戒、定、慧、德胜、精进、教富饶、通达真实、善说法、悲悯为体、断疲厌",道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
善知识,a spiritual master,A spiritual master disciplining others has to be someone who has first disciplined his own mind. 彼调御他人之师，先须自能调伏,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
戒定慧三学/三宝学,three precious trainings,"That has been ascertained as the three precious trainings, and therefore the three, ethics and so on. 须随佛教总相，如戒定慧三学，以调伏身心",道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
别解脱戒经,the Vows of Individual Liberation (Prátimoksasútra),In the Sútra on the Vows of Individual Liberation (Prátimoksasútra) it says 如《别解脱戒经》云,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
心马/意马,horse of the mind,In accord with the unruly horse of the mind always willfully straying away 心马难制止，勇决恒相续,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
心马难制止，勇决恒相续,In accord with the unruly horse of the mind always willfully straying away,In accord with the unruly horse of the mind always willfully straying away 心马难制止，勇决恒相续,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
别解脱如衔，有百针极利,a bridle strutted with a hundred sharp nails - that's individual liberation,A bridle strutted with a hundred sharp nails - that's individual liberation 别解脱如衔，有百针极利,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
邪境,wrong objects,The sense powers pursue wrong objects like wild horses 调伏根随邪境，如调野马,道次第,道前基础-正论,依止善知识为入道根本,P19,,,,
心意内摄,mindfulness and introspection,"based on mindfulness and introspection with regard to engaging in good and counteracting faulty behavior, the mind abides in a state of inner calm 心意内摄，寂静安住的心境",道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
圣教功德（教正法）,scriptural knowledge,As the quality of scriptural knowledge is also needed 善知识还要具备圣教功德,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
格西仲登巴,Geshe Dromtömpa,According to Geshe Dromtömpa 如格西仲登巴云,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
大乘师者,Mahàyàna guru,"For someone to be called a Mahàyàna guru, he must generate boundless understanding when he explains 大乘师者，须任说一事，皆能贯通无量经义",道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
贯通无量经义,generate boundless understanding,"For someone to be called a Mahàyàna guru, he must generate boundless understanding when he explains 大乘师者，须任说一事，皆能贯通无量经义",道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
法无我,the selflessness of phenomena,"""Having realized suchness"" refers to the special training in wisdom - the realization of the selflessness of phenomena 通达真实或教理者，谓以胜慧达法无我",道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
法句经优陀那品释,Collection of Indicative Verses (Udánavarga),Therefore someone with more qualities is needed because in Collection of Indicative Verses (Udánavarga) it says,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
所依逊己反成退,people relying on someone inferior wither,People relying on someone inferior wither 所依逊己反成退,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
平等相依住中流,those relying on one of their peers stay the same,Those relying on one of their peers stay the same 平等相依住中流,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
依较胜者获胜德,those relying on leaders attain to sanctity,Those relying on leaders attain to sanctity 依较胜者获胜德,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
是故当依胜己者,therefore rely on those ahead of you,Therefore rely on those ahead of you 是故当依胜己者,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
普穹瓦,Puchungwa,Puchungwa said 普穹瓦云,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
塔懿,Tazhi,and Tazhi said 又塔懿云,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
惹真寺/热振寺,Reting,I take the old men of Reting as models 惹真寺诸尊宿,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
摄受他人,taking care of others,The remaining ones are qualities for taking care of others 其余则为摄受他人之功德,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
佛非水洗众生罪,The Sages do no wash away evil with water,The Sages do no wash away evil with water 佛非水洗众生罪,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
亦非手拔有情苦,The do no remove the suffering of beings by hand,The do no remove the suffering of beings by hand 亦非手拔有情苦,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
非将己德移于余,They do not graft their realizations onto others,They do not graft their realizations onto others 非将己德移于余,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
唯为说法令解脱,"The liberate, teaching the truth of reality's nature","The liberate, teaching the truth of reality's nature 唯为说法令解脱",道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
无谬开示道轨,the path in an unmistaken manner,apart from teaching others the path in an mistaken manner and taking care of them 诸佛除了以无谬开示道轨来摄受众生外,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
意念清净/清净发心,a pure motivation,"""Loving"" means having a pure motivation to teach the Dharma and teaching motivated by compassion without regard for material gain or respect 具悲悯者，即说法之意念清净，非为名利承事",道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
利养,material gain,"""Loving"" means having a pure motivation to teach the Dharma and teaching motivated by compassion without regard for material gain or respect 具悲悯者，即说法之意念清净，非为名利承事",道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
博多瓦呼井拿瓦,Potowa,We need someone like Potowa who said to Chenngawa 博多瓦呼井拿瓦曰,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
里抹补,Son of Lima,Son of Lima 里抹补,道次第,道前基础-正论,依止善知识为入道根本,P20,,,,
自觉善哉,applause as my own,"However many explanations of the Dharma I have given, not once have I claimed the applause as my own 我随说几许法，未曾一次自觉善哉",道次第,道前基础-正论,依止善知识为入道根本,P21,,,,
数数宣说/屡屡讲说,explaining things over and over again,"""Never disheartened"" means that he does not become weary due to explaining things over and over again 断疲厌者，数数宣说，不生疲倦",道次第,道前基础-正论,依止善知识为入道根本,P21,,,,
《四百颂》,Four Hundred Stanzas,Four Hundred Stanzas says:《四百颂》云,道次第,道前基础-正论,依止善知识为入道根本,P21,,,,
质直、具慧、求法义,impartial、intelligent、full of endeavor,"impartial、intelligent、full of endeavor,质直、具慧、求法义",道次第,道前基础-正论,依止善知识为入道根本,P21,,,,
是则名为听法器,thus is explained a vessel for teachings,thus is explained a vessel for teachings.是则名为听法器,道次第,道前基础-正论,依止善知识为入道根本,P21,,,,
《中观心论》,Essence of the Middle Way,It is just as it says in Essence of the Middle Way.《中观心论》云。,道次第,道前基础-正论,依止善知识为入道根本,P22,,,,
以堕类故心热恼,"Withe a biased-thus anguished-mind,","Withe a biased-thus anguished-mind,以堕类故心热恼",道次第,道前基础-正论,依止善知识为入道根本,P22,,,,
终无通达寂灭时,Peace can never be realized.,Peace can never be realized.终无通达寂灭时,道次第,道前基础-正论,依止善知识为入道根本,P22,,,,
善摄心听,an attentive mind,"The commentary states that the two, respect for the Dharma and the expounder of the Dharma as well as an attentive mind, are added, so that five characteristics are set forth.",道次第,道前基础-正论,依止善知识为入道根本,P22,,,,
意乐依止,The manner of relying in thought,The manner of relying in thought 意乐依止,道次第,道前基础-正论,依止善知识为入道根本,P22,,,,
加行依止,The manner of relying through actions,The manner of relying through actions 加行依止,道次第,道前基础-正论,依止善知识为入道根本,P22,,,,
净信为本,"The root, training in faith","The root, training in faith 净信为本",道次第,道前基础-正论,依止善知识为入道根本,P22,,,,
念恩生敬,Remembering his kindness so as to generate respect,Remembering his kindness so as to generate respect 念恩生敬,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
恩,kindness,Remembering his kindness so as to generate respect 念恩生敬,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
《宝炬陀罗尼经》,Jewels Blaze Dhàranì(Ratnolkadhàranì),In Jewels Blaze Dhàranì(Ratnolkadhàranì) it says 《宝炬陀罗尼经》云,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
信为前导有如母,"Faith, a preparatory practice, gives birth, like a mother","Faith, a preparatory practice, gives birth, like a mother 信为前导有如母",道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
前导,a preparatory practice,"Faith, a preparatory practice, gives birth, like a mother 信为前导有如母",道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
出生长养诸功德,"To all good qualities, guards them, and makes them increase","To all good qualities, guards them, and makes them increase 出生长养诸功德",道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
功德,good qualities,"To all good qualities, guards them, and makes them increase 出生长养诸功德",道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
能令功德未生者生,This says that faith gives birth to positive qualities that have not yet raisen,This says that faith gives birth to positive qualities that have not yet raisen 能令功德未生者生,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
功德,postive qualities,This says that faith gives birth to positive qualities that have not yet raisen 能令功德未生者生,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
已生者安住,and once they have come into existence,and once they have come into existence 已生者安住,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
辗转向上增长也,it sustains and increases them,it sustains and increase them 辗转向上增长也,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
《十法经》,Sùtra of the Ten Dharmas (Dašadharmakasùtra),In the Sùtra of the Ten Dharmas (Dašadharmakasùtra) it also says 《十法经》云,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
何以到佛地,That which leads to definie emergence,That which leads to definite emergence 何以到佛地,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
佛地，明确的浮现,definite emergence,That which leads to definite emergence 何以到佛地,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
信为殊胜乘,"Faith, is the foremost of vehicles","Faith, is the foremost of vehicles 信为殊胜乘",道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
殊胜乘,the foremost of vehicles,"Faith, is the foremost of vehicles 信为殊胜乘",道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
是故具慧者,For the reason the intelligent,For the reason the intelligent 是故具慧者,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
具慧,the intelligent,For the reason the intelligent 是故具慧者,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
当随净信修,Rely on the pursuit of faith,Rely on the pursuit of faith 当随净信修,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
于诸不信人,In those who are lacking faith,In those who are lacking faith 于诸不信人,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
不信,lacking faith,In those who are lacking faith 于诸不信人,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
不能生白法,Wholesome qualities do not raise,Wholesome qualities do not raise 不能生白法,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
白法,wholesome qualities,Wholesome qualities do not raise 不能生白法,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
如火烧种子,"Likewise, in seeds that were burnt by fire","Likewise, in seeds that were burnt by fire 如火烧种子",道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
岂复发青芽,No green sprout can germinate,No green sprout can germinate 岂复发青芽,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
行止,forward and reverse,In terms of the forward and reverse pervasions 此谓行止门中,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
根本,foundation,faith is said to be the foundation of all positive qualities 信为一切功德根本,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
三宝,Three Jewels,"Generally speaking there are many types of faith: in the Three Jewels, in actions and their effects, and in the four noble truths 总则对于三宝、业果、四谛等生信，有其多种",道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
业果,actions and their effects,"Generally speaking there are many types of faith: in the Three Jewels, in actions and their effects, and in the four noble truths 总则对于三宝、业果、四谛等生信，有其多种",道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
四谛,four noble truths,"Generally speaking there are many types of faith: in the Three Jewels, in actions and their effects, and in the four noble truths 总则对于三宝、业果、四谛等生信，有其多种",道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
《金刚手灌顶经》,Tantra Bestowing the Initiation of Vajrapàni (Vajrapànyabhišekamahàtantra),it says in the Tantra Bestowing the Initiation of Vajrapàni (Vajrapànyabhišekamahàtantra) 《金刚手灌顶经》云,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
秘密主,Oh Lord of Secrets,Oh Lord of Secrets 秘密主,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
学人、弟子,student,how should a student see his master? 学人于阿阇黎应作何观？,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
阿阇黎,master,how should a student see his master? 学人于阿阇黎应作何观？,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
世尊薄伽梵，佛,Buddha Bhagavan,Just like he would see the Budhha Bhagavan 当视如佛,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
大乘经,Mahàyàna sùtras,Simlar statements can be found in the collection of Mahàyàna sùtras and in the Vinaya 诸大乘经及律藏皆作是说,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
律藏，戒律,the Vinaya,Simlar statements can be found in the collection of Mahàyàna sùtras and in the Vinaya 诸大乘经及律藏皆作是说,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
寻过之心,a mind conceiving faults,"If you understand that someone is like a buddha, instead of a mind conceiving faults in him 谓常人于佛皆不致生起寻过之心",道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
当持师功德,Apprehend your master's positive qualities,Apprehend your master's positive qualities 当持师功德,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
无寻师过失,Do not ever apprehend his faults,Do not ever apprehend his faults 无寻师过失,道次第,道前基础-正论,依止善知识为入道根本,P23,,,,
观德得成就,Apprehending his qualities you will gain siddhis,Apprehending his qualities you will gain siddhis 观德得成就,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
成就，悉地，神通,siddhis,Apprehending his qualities you will gain siddhis 观德得成就,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
察过不得成,Apprehending his faults they cannot be gained,Apprehending his faults they cannot be gained 察过不得成,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
成就,spiritual accomplishments,this will become an obstacle to your own spiritual accomplishments 即会障碍我们自己的成就,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
放逸心,non-conscientiousness,"If concepts of faults arise due to non-conscientiousness, a lot of afflictions, and so forth, you should apply yourself to confession and restraint 设以放逸心或烦恼炽盛等过，忽起寻过之心，应当励力忏改防护",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
烦恼炽盛,a lot of afflications,"If concepts of faults arise due to non-conscientiousness, a lot of afflictions, and so forth, you should apply yourself to confession and restraint 设以放逸心或烦恼炽盛等过，忽起寻过之心，应当励力忏改防护",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
忏改防护,confession and restain,"If concepts of faults arise due to non-conscientiousness, a lot of afflictions, and so forth, you should apply yourself to confession and restraint 设以放逸心或烦恼炽盛等过，忽起寻过之心，应当励力忏改防护",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
着眼于,mind holds on,but since your mind holds on to the side of positive qualities 着眼于功德之上,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
大依怙（阿底峡尊者),the Great Elder,"For instance, the Great Elder upheld the view of the Madhyamaka 如阿底峡尊者见解为中观派",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
中观派，中观见，中观学派,Madhyamaka,"For instance, the Great Elder upheld the view of the Madhyamaka 如阿底峡尊者见解为中观派",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
金洲大师,Serlingpa,"while Serlingpa upheld the view of the True Aspectarian Cittamàtra which is why, in term of view, one ware higher than the other 金洲大师见解为唯识派，就见而论，虽有胜劣",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
唯识派，唯识见,True Aspectarian Cittamàtra,"while Serlingpa upheld the view of the True Aspectarian Cittamàtra which is why, in term of view, one were higher than the other 金洲大师见解为唯识派，就见而论，虽有胜劣",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
于久远驰骋生死中寻求我者,He looks for me who has roamed in cyclic existence for a long time,He looks for me who has roamed in cyclic existence for a long time 于久远驰骋生死中寻求我者,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
生死轮回,cyclic existence,He looks for me who has roamed in cyclic existence for a long time 于久远驰骋生死中寻求我者,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
于长夜痴暗睡眠中醒觉我者,he awakens me form a long time of obscuration and torpor due to ignorance,he awakens me form a long time of obscuration and torpor due to ignorance 于长夜痴暗睡眠中醒觉我者,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
于陷溺有海拔济我者,he pulls me out as I sink in the ocean of existence,he pulls me out as I sink in the ocean of existence 于陷溺有海拔济我者,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
有海，苦海,ocean of existence,he pulls me out as I sink in the ocean of existence 于陷溺有海拔济我者,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
我入恶道，示以善道,he shows good paths to me who has entered bad ones,he shows good paths to me who has entered bad ones 我入恶道，示以善道,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
善道,good paths,he shows good paths to me who has entered bad ones 我入恶道，示以善道,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
于三界牢狱中解放我者,he frees me who has been bound in the prision of existence,he frees me who has been bound in the prision of existence 于三界牢狱中解放我者,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
三界牢狱,prision of existence,he frees me who has been bound in the prision of existence 于三界牢狱中解放我者,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
我有疾病，为作良医,he is a doctor to me who has long been tormented by illness,he is a doctor to me who has long been tormented by illness 我有疾病，为作良医,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
为作云雨而息灭之,I should generate the notion of him as rain-clouds,I should generate the notion of him as rain-clouds 为作云雨而息灭之,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
我为贪等猛火所烧,pacifying me who has been ablaze with the fire of attachment and the like,pacifying me who has been ablaze with the fire of attachment and the like 我为贪等猛火所烧,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
《华严经》,the Array of Stalks Sùtra (Gandavyùhasùtra),The Array of Stalks Sùtra (Gandavyùhasùtra) also says 《华严经》云,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
我此善友说法人,"These are my spiritual friends, expounders of Dharma","These are my spiritual friends, expounders of Dharma 我此善友说法人",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
善友,spiritual friends,"These are my spiritual friends, expounders of Dharma 我此善友说法人",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
诸法功德为开示,Exhaustively teaching the qualities of all dharmas,Exhaustively teaching the qualities of all dharmas 诸法功德为开示,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
诸法,all dharmas,Exhaustively teaching the qualities of all dharmas 诸法功德为开示,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
菩萨威仪总为说,Thoroughly teaching the conduct of bodhisattvas,Thoroughly teaching the conduct of bodhisattvas 菩萨威仪总为说,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
一心思惟而来此,"With these thoughts in mind, I have come here","With these thoughts in mind, I have come here 一心思惟而来此",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
能生善行如我母,"As they give birth to all that, they are like my mother","As they give birth to all that, they are like my mother 能生善行如我母",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
哺功德乳如乳母,"They give me the milk of virtues, so they are like nurses","They give me the milk of virtues, so they are like nurses 哺功德乳如乳母",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
功德乳,milk of virtues,"They give me the milk of virtues, so they are like nurses 哺功德乳如乳母",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
菩提支分教修习,They cleanse me completely by means of enlightenment's branches,They cleanse me completely by means of enlightenment's branches 菩提支分教修习,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
支分,branches,They cleanse me completely by means of enlightenment's branches 菩提支分教修习,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
此诸知识遮损恼,These spiritual friends completely exorcize harm,These spiritual friends completely exorcize harm 此诸知识遮损恼,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
解脱生死如妙药,They are like doctors releasing from death and old age,They are like doctors releasing from death and old age 解脱生死如妙药,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
亦如帝释降甘霖,Showering a rain of nectar they are like Lord Indra,Showering a rain of nectar they are like Lord Indra 亦如帝释降甘霖,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
甘霖,rain of nectar,Showering a rain of nectar they are like Lord Indra 亦如帝释降甘霖,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
帝释，帝释天,Lord of Indra,Showering a rain of nectar they are like Lord Indra 亦如帝释降甘霖,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
令我增善如满月,Like the full moon they flourish with white qualities,Like the full moon they flourish with white qualities 令我增善如满月,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
善，善法，善根,white qualities,Like the full moon they flourish with white qualities 令我增善如满月,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
开显涅槃似日明,"They show the direction of peace, just llike bright sunlight","They show the direction of peace, just llike bright sunlight 开显涅槃似日明",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
开显,show,"They show the direction of peace, just llike bright sunlight 开显涅槃似日明",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
涅槃,"direction of peace, peace","They show the direction of peace, just llike bright sunlight 开显涅槃似日明",道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
心于冤亲固如山,Regarding friends and foes they are like mountains,Regarding friends and foes they are like mountains 心于冤亲固如山,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
冤亲,friends and foes,Regarding friends and foes they are like mountains 心于冤亲固如山,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
亦如大海不荡动,They have minds as undisturbed as the sea,They have minds as undisturbed as the sea 亦如大海不荡动,道次第,道前基础-正论,依止善知识为入道根本,P24,,,,
救护一切如船师,"They give perfect support, some say: ""like boatman""","They give perfect support, some say: ""like boatman"" 救护一切如船师",道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
船师,boatman,"They give perfect support, some say: ""like boatman"" 救护一切如船师",道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
善财如是思惟来,"With this in mind, Sudhana, I've come here","With this in mind, Sudhana, I've come here 善财如是思惟来",道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
善财，善财童子,Sudhana,"With this in mind, Sudhana, I've come here 善财如是思惟来",道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
菩萨令我发大心,Bodhisattvas bring forth my understanding,Bodhisattvas bring forth my understanding 菩萨令我发大心,道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
佛子令起求菩提,The buddhas' children cause enlightenment,The buddhas' children cause enlightenment 佛子令起求菩提,道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
求菩提，修行,enlightenment,The buddhas' children cause enlightenment 佛子令起求菩提,道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
