中文,英文,摘自,Comments
慢,pride,生命的痛苦及其解脱,
过慢,excessive pride,生命的痛苦及其解脱,
慢过慢,superiority pride,生命的痛苦及其解脱,
我慢,self-pride,生命的痛苦及其解脱,
增上慢,overestimation pride,生命的痛苦及其解脱,
卑慢,inferiority pride,生命的痛苦及其解脱,
邪慢,misguided pride,生命的痛苦及其解脱,
果位,spiritual milestone,生命的痛苦及其解脱,
盲修瞎炼,misguided practices,生命的痛苦及其解脱,
走火入魔,become deluded,生命的痛苦及其解脱,
善业/善的行为,wholesome actions,生命的痛苦及其解脱,
无记的行为,neutral actions,生命的痛苦及其解脱,
布施,giving/generosity,生命的痛苦及其解脱,
广修布施,practice generosity,生命的痛苦及其解脱,
慈悲济世,"generous and compassionate
compassionate salvation for the world","生命的痛苦及其解脱
当代宗教信仰问题的思考",
现世乐,current joy,生命的痛苦及其解脱,
未来利益乐,happiness in subsequent lives,生命的痛苦及其解脱,
法乐,a unique joy stemming from the Dharma,生命的痛苦及其解脱,
三途诸苦,"the agonies of the Three Wretched Realms (the realms of hell beings, hungry ghosts, and animals)",生命的痛苦及其解脱,
恶趣,the Wretched Realms,生命的痛苦及其解脱,
报应,retribution,生命的痛苦及其解脱,
果报,karmic consequences/retribution,生命的痛苦及其解脱,
人天（道）,Human and Heavenly Realms,生命的痛苦及其解脱,
声闻菩提,the fruit of the path of the Sravakas,生命的痛苦及其解脱,
独觉菩提,the fruit of the path of the Pratyekabuddhas,生命的痛苦及其解脱,
无上菩提,the fruit of the unsurpassed Bodhi,生命的痛苦及其解脱,
世出世间五乘果位,worldly and supermundane fruits across the Five Vehicles,生命的痛苦及其解脱,
声闻乘,the Sravaka Vehicle,生命的痛苦及其解脱,
菩萨乘,the Bodhisattva Vehicle,生命的痛苦及其解脱,
六度四摄,the Six Perfections and Four Means of Conversion,生命的痛苦及其解脱,
十恶行/十不善业,the ten unwholesome actions,生命的痛苦及其解脱,
杀生,killing/take life,生命的痛苦及其解脱,
不与取/偷盗,taking what is not given/stealing,生命的痛苦及其解脱,
邪行/邪淫,sexual misconduct,生命的痛苦及其解脱,
斋戒,religious fasting,生命的痛苦及其解脱,
虚诳语/妄语,deceitful speech/false speech,生命的痛苦及其解脱,
离间语/两舌,divisive speech,生命的痛苦及其解脱,
粗恶语/恶口,harsh speech/verbal abuse,生命的痛苦及其解脱,
杂秽语/绮语,frivolous speech/idle gossip,生命的痛苦及其解脱,
贪欲,greed,生命的痛苦及其解脱,
嗔恚,hatred,生命的痛苦及其解脱,
拨无因果,deny the Law of Cause and Effect,生命的痛苦及其解脱,
断见,nihilistic perspectives,生命的痛苦及其解脱,
常见,eternalistic views,生命的痛苦及其解脱,
十善行,the ten wholesome actions,生命的痛苦及其解脱,
不杀生,no killing,生命的痛苦及其解脱,
不不与取/不偷盗,no stealing,生命的痛苦及其解脱,
不邪淫,no sexual misconduct,生命的痛苦及其解脱,
不虚诳语/不妄语,no false speech,生命的痛苦及其解脱,
不杂秽语,no frivolous speech,生命的痛苦及其解脱,
不离间语,no divisive speech,生命的痛苦及其解脱,
不粗恶语,no harsh speech,生命的痛苦及其解脱,
不贪欲,no greed,生命的痛苦及其解脱,
不嗔恚,no hatred,生命的痛苦及其解脱,
不邪见,no erroneous views,生命的痛苦及其解脱,
身口意三业,"the three actions of body, speech, and mind",生命的痛苦及其解脱,
身业,the action of the body/bodily action,生命的痛苦及其解脱,
口业,the action of speech/verbal action/speech,生命的痛苦及其解脱,
意业,the action of the mind,生命的痛苦及其解脱,
因果报应,karmic retribution,生命的痛苦及其解脱,
缘,supporting conditions,生命的痛苦及其解脱,
现报业,the karma of the present retribution,生命的痛苦及其解脱,
生报业,the karma of the retribution in the next rebirth,生命的痛苦及其解脱,
后报业,the karma of the subsequent retribution,生命的痛苦及其解脱,
不定报业,the karma of uncertain retribution,生命的痛苦及其解脱,
有漏的,tainted and with outflow/contaminated,生命的痛苦及其解脱,
爱别离（苦）,separation from loved ones/be saddened by a separation from their beloved/the pain of separation,生命的痛苦及其解脱,
求不得（苦）,unfulfilled desires/unable to get what they desire/the frustration of unmet desires,生命的痛苦及其解脱,
怨憎会（苦）,encounters with those one resents/be with someone they dislike,生命的痛苦及其解脱,
五阴炽盛,the distress caused by the overwhelming presence of the Five Aggregates,生命的痛苦及其解脱,
离苦得乐,"leave suffering behind and attain happiness
escape from suffering and attain happiness","生命的痛苦及其解脱
当代宗教信仰问题的思考",
因果法则,the principle of causality,生命的痛苦及其解脱,
不可思议,inconceivable,生命的痛苦及其解脱,
解脱痛苦,liberate from suffering,生命的痛苦及其解脱,
世界观,understanding of the world,生命的痛苦及其解脱,
人生观,"understanding of the life
view on life","生命的痛苦及其解脱
心灵创造幸福",
相信因果,believe in the Law of Cause and Effect,生命的痛苦及其解脱,
前生,past life,生命的痛苦及其解脱,
后世,future life,生命的痛苦及其解脱,
今生,present life,生命的痛苦及其解脱,
无穷的过去,a beginningless past,生命的痛苦及其解脱,
无尽的未来,an infinite future,生命的痛苦及其解脱,
放生,set captured animals free,生命的痛苦及其解脱,
护生,protect all beings from harm,生命的痛苦及其解脱,
相貌庄严,be noble and dignified in appearance,生命的痛苦及其解脱,
忍辱之心,a mind of tolerance,生命的痛苦及其解脱,
随喜赞叹,rejoice over their glory,生命的痛苦及其解脱,
正见（动词）,gain insight into,生命的痛苦及其解脱,
一切有为法,all conditioned things,生命的痛苦及其解脱,
心随境转,"Minds change with their circumstances.
be influenced by one's surroundings","生命的痛苦及其解脱
茶与禅的修行",
外境,external situation,生命的痛苦及其解脱,
成住坏空,"formation, existence, destruction, and emptiness",生命的痛苦及其解脱,
四缘,four types of conditions,生命的痛苦及其解脱,
因缘,the causal condition,生命的痛苦及其解脱,
增上缘,the predominant condition,生命的痛苦及其解脱,
所缘缘,the object condition,生命的痛苦及其解脱,
等无间缘,the immediate antecedent condition,生命的痛苦及其解脱,
亲因缘,the proximate causal condition,生命的痛苦及其解脱,
根身,the sense organ,生命的痛苦及其解脱,
偈颂,Gatha,生命的痛苦及其解脱,
不二,non-dual,生命的痛苦及其解脱,
虚妄相/假相,false appearance,生命的痛苦及其解脱,
透视,see through,生命的痛苦及其解脱,
无常的规律,the Law of Impermanence,生命的痛苦及其解脱,
观三轮体空,"observe the emptiness of the giver, receiver, and gift",生命的痛苦及其解脱,
世间相,worldly forms,生命的痛苦及其解脱,
修证（佛法）,practice and realize the Dharma,生命的痛苦及其解脱,
须陀洹,Srotaapanna (stream-enterer),生命的痛苦及其解脱,
斯陀含,Sakrdagamin (once-returner),生命的痛苦及其解脱,
阿那含,Anagamin (non-returner),生命的痛苦及其解脱,
阿罗汉,arhat,生命的痛苦及其解脱,
无上佛果,supreme Buddhahood,生命的痛苦及其解脱,
三乘,the three vehicles,生命的痛苦及其解脱,
证诸法实相,realize the true nature of all dharmas,生命的痛苦及其解脱,
能所双亡,subject and object are both extinguished,生命的痛苦及其解脱,
无智无得,neither wisdom nor attainment to be found,生命的痛苦及其解脱,
取相妄生分别,cling to forms and discriminates falsely,生命的痛苦及其解脱,
大彻大悟,have a great enlightenment,生命的痛苦及其解脱,
得法偈,verse of enlightenment,生命的痛苦及其解脱,
无住的修行,the practice of non-abidance,生命的痛苦及其解脱,
无念,no-thought,生命的痛苦及其解脱,
证悟清净法性,realize the pure Dharma nature,生命的痛苦及其解脱,
证悟大道,realize the Great Way,生命的痛苦及其解脱,
小乘禅观,Theravada meditation,生命的痛苦及其解脱,
系心于境,fix the mind on objects,生命的痛苦及其解脱,
公案,koan,生命的痛苦及其解脱,
不取不舍,neither cling to nor reject anything,生命的痛苦及其解脱,
处处随缘,adapt effortlessly to circumstances,生命的痛苦及其解脱,
处处自在,live in ease and comfort,生命的痛苦及其解脱,
相续的,continuous,生命的痛苦及其解脱,
心无旁骛,with undivided attention,生命的痛苦及其解脱,
调御心态,regulate one’s mind,生命的痛苦及其解脱,
对治妄想,combat delusions,生命的痛苦及其解脱,
止观,cessation and contemplation/Samatha-Vipassana,生命的痛苦及其解脱,
止,cessation,生命的痛苦及其解脱,
止息散乱,calm the scattered mind,生命的痛苦及其解脱,
制心一处,"concentrate it on one point/focus pne's mind in one place
dwell the mind in one place","生命的痛苦及其解脱
禅意设计“十二字箴言”",
大乘见地,the Mahayana viewpoint,生命的痛苦及其解脱,
直下承担,realize one's Buddha-nature/take direct responsibility for ourselves,生命的痛苦及其解脱,
思维,conceptual thinking,生命的痛苦及其解脱,
禅,Chan,茶与禅的修行,
茶人,tea practitioner,茶与禅的修行,
吃茶去,go drink tea/go have tea,茶与禅的修行,
茶禅一味,Tea and Chan are one flavor.,茶与禅的修行,
茶禅一味的修行,the practice of Tea and Chan as one flavor,茶与禅的修行,
和敬清寂,"harmony, respect, purity, tranquility",茶与禅的修行,
一期一会,once-in-a-lifetime encounter,茶与禅的修行,
侘寂之美,"the beauty of Wabi-Sabi
wabi-sabi aesthetics","茶与禅的修行
煮茶观心",
平常心,the ordinary mind,茶与禅的修行,
专注,concentration/focus,茶与禅的修行,
觉察,awareness/be mindful,茶与禅的修行,
茶道/茶会,tea ceremony,茶与禅的修行,
禅文化,Chan culture,茶与禅的修行,
道,the Way,茶与禅的修行,
禅的智慧,Chan wisdom,茶与禅的修行,
以本分事相见,be grounded in ordinary affairs,茶与禅的修行,
反观自照,reflect inwardly,茶与禅的修行,
认识本心,recognize one's true mind,茶与禅的修行,
座上/坐禅,sitting meditation,茶与禅的修行,
座下,all activities,茶与禅的修行,
开宗立派,establish itself as a distinct school,茶与禅的修行,
以茶相和，以禅相知,create harmony through tea and understand each other through Chan,茶与禅的修行,
禅堂,Chan hall,茶与禅的修行,
法会,Dharma assembly,茶与禅的修行,
佛教中国化,Sinicization of Buddhism,茶与禅的修行,
仪轨,ritual,茶与禅的修行,
成道日,enlightenment day,茶与禅的修行,
涅槃日,parinirvana day,茶与禅的修行,
供“备香花灯烛茶果珍馐”,"offer incense, flowers, lamps, candles, tea, fruits, and delicacies",茶与禅的修行,
住持巡寮,the abbot’s inspections,茶与禅的修行,
受法衣,receive the Dharma robe,茶与禅的修行,
迎侍尊宿,welcome honored guests,茶与禅的修行,
斋僧,offer meals to the monks,茶与禅的修行,
禅宗法脉,the Chan lineage,茶与禅的修行,
世间法,worldly practice,茶与禅的修行,
悟禅,realize Chan,茶与禅的修行,
体悟禅,experience Chan,茶与禅的修行,
禅宗公案,Chan koan,茶与禅的修行,
禅门,Chan tradition,茶与禅的修行,
法嗣,Dharma heir,茶与禅的修行,
随xx参禅,studied Chan under xx,茶与禅的修行,
得xx印可,receive xx‘s approval,茶与禅的修行,
草庵茶,"Soan tea ceremony (grass hut tea)
the grass hut tea ceremony
the “Thatched Hut Tea (soan-cha)” style
Thatched Hut Tea","茶与禅的修行
茶与禅的修行
煮茶观心
煮茶观心",
谨敬清寂,"carefulness, respect, purity, and tranquility",茶与禅的修行,
天人合一,"the harmonious Oneness of Heaven and Humanity/integrate oneself into nature
the unity of heaven and humanity
the unity between heaven and humanity","禅意设计“十二字箴言”
茶与禅的修行
开启正念与慈悲大爱",
茶室,tea room,茶与禅的修行,
狂心顿歇,the sudden cessation of a frenzied mind,茶与禅的修行,
涅槃寂静,Nirvana is Perfect Tranquility.,茶与禅的修行,
收摄六根,gather one's six senses,茶与禅的修行,
向外求,seek outward,茶与禅的修行,
超然自在,transcend all worldly concerns,茶与禅的修行,
多生累劫,many lifetimes,茶与禅的修行,
福德因缘,accumulated merits and favorable circumstances,茶与禅的修行,
虔诚,"sincerity
devotion","茶与禅的修行
以茶入禅",
敬畏,reverence,茶与禅的修行,
殷重,seriousness,茶与禅的修行,
安住当下,"fully present in the moment
settle into the present moment","茶与禅的修行
凡圣只在迷悟间",
人生境界,a certain state of being,茶与禅的修行,
水边林下,by the water and in the forests,茶与禅的修行,
身无长物,own very few possessions,茶与禅的修行,
当下,the present moment,茶与禅的修行,
由茶入道,enter the Path through tea,茶与禅的修行,
体会禅茶一味(的境界),experience the unity of Chan and tea,茶与禅的修行,
与禅相应,align with Chan,茶与禅的修行,
放下,let go,茶与禅的修行,
放松,relax,茶与禅的修行,
放空,empty the mind,茶与禅的修行,
安顿身心,"settle one's body and mind
provide peace of mind and body","茶与禅的修行
东方智慧在当今世界的价值",
本性空寂,inherently empty and tranquil,茶与禅的修行,
水月道场,a moonlit ashram,茶与禅的修行,
梦中佛事,a dream-like Buddhist ceremony,茶与禅的修行,
悟道偈,the enlightenment verse,茶与禅的修行,
点茶,make tea,茶与禅的修行,
和本心相应,align with our true nature,茶与禅的修行,
世俗心,worldly mind,茶与禅的修行,
没有遮蔽的,unobstructed,茶与禅的修行,
回归平常,return to the ordinary state,茶与禅的修行,
超越事相,transcend the forms,茶与禅的修行,
超然物外,"transcend the material world
be detached from all worldly affairs","茶与禅的修行
禅意设计“十二字箴言”",
摄心,gather one's mind,茶与禅的修行,
唤起内心清明的力量,awaken the clarity within,茶与禅的修行,
正念禅修,"mindfulness practice
mindfulness meditation","正念禅修的要领
正念禅修的要领",
禅修开示,meditation teachings,正念禅修的要领,
调身,adjust the body/regulate the body/postural adjustment,正念禅修的要领,
有修,contrived,正念禅修的要领,
无修,uncontrived,正念禅修的要领,
正念经行,mindful walking,正念禅修的要领,
佛法修行体系,Buddhist cultivation system,正念禅修的要领,
根机,"spiritual aptitude
spiritual faculty","正念禅修的要领
煮茶观心",
次第渐修,gradual and progressive practice,正念禅修的要领,
皈依,take refuge,正念禅修的要领,
发心（发菩提心）,generate bodhicitta,正念禅修的要领,
以见导修,doctrine guide cultivation,正念禅修的要领,
口头禅,mere lip service about enlightenment,正念禅修的要领,
教理闻思,doctrinal learning and contemplation,正念禅修的要领,
解决粗重烦恼,resolve coarse afflictions,正念禅修的要领,
xx的方便,an expedient means of,正念禅修的要领,
身的安住,physical stillness,正念禅修的要领,
心的安定,mental stability,正念禅修的要领,
定力,(power of) concentration,正念禅修的要领,
毗卢七支坐,the Seven-Point Postures of Vairochana,正念禅修的要领,
跏趺而坐,sit cross-legged,正念禅修的要领,
双跏趺,full-lotus position,正念禅修的要领,
双盘,cross-legged position,正念禅修的要领,
单盘,half-lotus position,正念禅修的要领,
金刚坐,Half Lotus Pose （right foot is placed on the left thigh）,正念禅修的要领,
如意坐,Half Lotus Pose （left foot is placed on the right thigh）,正念禅修的要领,
散盘,Easy Pose,正念禅修的要领,
定印,Dhyana Mudra,正念禅修的要领,
手结定印,form a Dhyana Mudra with the hands,正念禅修的要领,
两肩平展,keep the shoulders level,正念禅修的要领,
头正颈立,keep the head upright and the neck straight,正念禅修的要领,
双目下垂,lower the eyes,正念禅修的要领,
留一点余光,allow a bit of light to filter through,正念禅修的要领,
舌抵上颚,"place the tongue against the roof of the mouth/
place the tongue against the palate ",正念禅修的要领,
上座后,after assuming the posture,正念禅修的要领,
松沉,relaxation,正念禅修的要领,
助缘,"supportive condition
contributing factor","正念禅修的要领
东方智慧在当今世界的价值",
修皈依,the practice of taking refuge,正念禅修的要领,
所缘境/所缘对象,the object of focus/the object of attention,正念禅修的要领,
所缘,"the meditation object
perceptual objects","正念禅修的要领
禅意设计“十二字箴言”",
座上禅修,seated meditation/sit in meditation(用法见批注),正念禅修的要领,
出入息,the breath,正念禅修的要领,
微息,subtle breath,正念禅修的要领,
全息,deep breath,正念禅修的要领,
九处心,The Nine Stages of Training the Mind ,正念禅修的要领,
内住,placement of the mind,正念禅修的要领,
续住,coutinuous placement,正念禅修的要领,
安住,repeated placement,正念禅修的要领,
近住,close placement,正念禅修的要领,
调伏,taming the mind,正念禅修的要领,
寂静,pacifying the mind/stillness,正念禅修的要领,
最终寂静,finally culminating in fully pacifying the mind,正念禅修的要领,
专注一境,single-pointing,正念禅修的要领,
等持,balanced placement,正念禅修的要领,
散乱掉举,scattering and lifting of attention/distraction and restlessness,正念禅修的要领,
昏沉迟钝,dullness and lethargy,正念禅修的要领,
心的安住,the mind’s stability,正念禅修的要领,
正知正念,"right mindfulness and vigilance
right awareness and mindfulness","正念禅修的要领
开启正念与慈悲大爱",
心灯,the lamp of the mind,正念禅修的要领,
觉受,sensations,正念禅修的要领,
意识的分别系统,the system of mental discrimination,正念禅修的要领,
差别智,discerning wisdom,正念禅修的要领,
知分别而离分别,discriminative wisdom while transcending discrimination,正念禅修的要领,
二元对立的世界,a world of duality,正念禅修的要领,
清净本心,"the pure, original nature",正念禅修的要领,
心法,"the exploration of the mind
consciousness","正念禅修的要领
生命的痛苦及其解脱",
内在观照,inner observation,正念禅修的要领,
虚空般的心,a mind like the void,正念禅修的要领,
放下的修行,the practice of leting go,正念禅修的要领,
不知不觉,"unconscious
unawareness","正念禅修的要领
开启正念与慈悲大爱",
全然的觉知,thorough awareness,正念禅修的要领,
安住觉知,abide in awareness,正念禅修的要领,
听茗,listen to tea,正念禅修的要领,
观心,observe the mind,正念禅修的要领,
煮茶听茗/煮茶观心,"Brewing Tea, Observing the Mind",正念禅修的要领,
煮水观心,"Boiling Water, Observing the Mind",正念禅修的要领,
没有造作,without contrivance,正念禅修的要领,
造作,intentional effort,正念禅修的要领,
开启觉知,initiate awareness,正念禅修的要领,
瀑流,torrent,正念禅修的要领,
修止,practice Samatha,正念禅修的要领,
修观,practice Vipassana,正念禅修的要领,
止观禅修,the meditation of Samatha and Vipassana,正念禅修的要领,
xx的加持,the support of xx,正念禅修的要领,
轮回的增上缘,the conditions for further samsara,正念禅修的要领,
空明不二的心,"the non-dual mind of emptiness and clarity
the non-dualistic mind of emptiness and enlightenment","正念禅修的要领
开启正念与慈悲大爱",
无念禅修,no-thought meditation,正念禅修的要领,
混混沌沌,be muddled,正念禅修的要领,
以茶入禅,incorporate tea into meditation,正念禅修的要领,
禅者,Chan practitioner,正念禅修的要领,
以茶摄心,use tea to focus the mind,正念禅修的要领,
借茶见性,use tea to perceive one’s nature,正念禅修的要领,
丛林清规,"monastic regulations
monastic rules","正念禅修的要领
煮茶观心",
接引大众,guide the public,正念禅修的要领,
喝茶观心,observe the mind while drinking tea,正念禅修的要领,
禅的心,the mind of Chan,正念禅修的要领,
视频开示,Video Dharma Talk,开启正念与慈悲大爱,
菩提道,the Bodhi path,开启正念与慈悲大爱,
佛法的殊胜,the Dharma’s unique excellence,开启正念与慈悲大爱,
究竟圆满的觉醒,the ultimate and complete awakening,开启正念与慈悲大爱,
古仙人道,the ancient immortal path,开启正念与慈悲大爱,
空明不二之心,the non-dualistic mind of emptiness and enlightenment,开启正念与慈悲大爱,
忏悔,repent one’s karmic evil,开启正念与慈悲大爱,
觉性海洋,the ocean of awakened nature,开启正念与慈悲大爱,
静修,meditate,开启正念与慈悲大爱,
前六识,the first six consciousnesses,开启正念与慈悲大爱,
第七识/未那识,the seventh Manas consciousness,开启正念与慈悲大爱,
第八识/阿赖耶识,the eighth Alaya consciousness,开启正念与慈悲大爱,
妄识系统,the system of deluded consciousness,开启正念与慈悲大爱,
持戒,adherence to precepts,开启正念与慈悲大爱,
空性见,the view of emptiness,开启正念与慈悲大爱,
修学者,practitioner,开启正念与慈悲大爱,
出家,renunciation,开启正念与慈悲大爱,
佛法僧三宝,"the Three Jewel: the Buddha, the Dharma, and the Sangha.",开启正念与慈悲大爱,
暇满义大,"a precious human life endowed with leisure and opportunities/
recognizing the preciousness of human life",开启正念与慈悲大爱,
念死无常,contemplating the impermanence of death,开启正念与慈悲大爱,
轮回是苦,"the suffering of samsara
samsara is suffering","开启正念与慈悲大爱
人工智能时代",
深信业果,"the deep belief in the law of karma
believing firmly in the law of karma","开启正念与慈悲大爱
开启正念与慈悲大爱",
转心,the transformation of our minds,开启正念与慈悲大爱,
人间净土,a pure land on earth,开启正念与慈悲大爱,
入世,mundane life ,开启正念与慈悲大爱,
惑业苦,"the suffering caused by delusion and Karma
delusion, karma, and suffering","开启正念与慈悲大爱
人生五大问题",
结生相续,the continuation of life and death,开启正念与慈悲大爱,
烦恼杂染,afflictive defilement,开启正念与慈悲大爱,
业杂染,karmic defilement,开启正念与慈悲大爱,
生杂染（果报杂染）,"rebirth defilement
maturing defilement","开启正念与慈悲大爱
《六祖坛经》与心理治疗",
二元执著,dualistic clinging,开启正念与慈悲大爱,
解除二元执著,dissolve dualistic clinging,开启正念与慈悲大爱,
分别、理性和思维的修行,"discriminative, rational and comtemplative practice ",开启正念与慈悲大爱,
分别的,discriminative,开启正念与慈悲大爱,
理性的,rational,开启正念与慈悲大爱,
思维的,comtemplative,开启正念与慈悲大爱,
xx的殊胜,the excellence of,开启正念与慈悲大爱,
利他禅修,altruistic meditation,开启正念与慈悲大爱,
利他心行,altruistic practice,开启正念与慈悲大爱,
不二法门,"the Gate of Non-Duality
the non-dualistic approach","开启正念与慈悲大爱
《六祖坛经》与心理治疗",
有我的慈悲,self compassion,开启正念与慈悲大爱,
无我的慈悲,no-self compassion,开启正念与慈悲大爱,
有所得的慈悲,attainable compassion,开启正念与慈悲大爱,
无所得的慈悲,non-attainable compassion,开启正念与慈悲大爱,
对事相的执著,attachments to the tasks,开启正念与慈悲大爱,
无所得心,the mind of non-attainment,开启正念与慈悲大爱,
庄严国土,adorn numerous Buddha-lands,开启正念与慈悲大爱,
利他善行,altruistic deeds,开启正念与慈悲大爱,
度化,liberate,开启正念与慈悲大爱,
回归本心,return to the original mind,开启正念与慈悲大爱,
菩萨行,the practice of the bodhisattva path,开启正念与慈悲大爱,
戒律,precepts,开启正念与慈悲大爱,
作意心所,attention,开启正念与慈悲大爱,
提起正念,cultivate mindfulness,开启正念与慈悲大爱,
见分,subjective aspect,开启正念与慈悲大爱,
自分,objective aspect,开启正念与慈悲大爱,
自证分,self-witnessing aspect,开启正念与慈悲大爱,
无分别心,non-discriminative mind,开启正念与慈悲大爱,
打成一片,integrate seamlessly into our lives,开启正念与慈悲大爱,
慈心,loving-kindness,开启正念与慈悲大爱,
随喜,empathetic joy,开启正念与慈悲大爱,
悲悯心,compassionate heart,开启正念与慈悲大爱,
爱语,kind speech,开启正念与慈悲大爱,
利行,beneficial actions,开启正念与慈悲大爱,
平等心,equanimity,开启正念与慈悲大爱,
利益思维,the mindset of benefiting others,开启正念与慈悲大爱,
慈经的修习,the practice of the Metta Sutta,开启正念与慈悲大爱,
发自内心的愿望,a hearfelt wish,开启正念与慈悲大爱,
散发慈心,radiate loving-kindness,开启正念与慈悲大爱,
缘起思维,the mindset of dependent arising/the mindset of dependent origination,开启正念与慈悲大爱,
放下我执,let go of self-attachment/break free from self-attachment/relinquish ego attachment,开启正念与慈悲大爱,
体会无我,realize no-self/experience no-self/comprehend no-self,开启正念与慈悲大爱,
流于口号,mere lip service,开启正念与慈悲大爱,
我见,self-view,开启正念与慈悲大爱,
同修/同参道友,fellow practitioner,开启正念与慈悲大爱,
有限性,finiteness,开启正念与慈悲大爱,
无限性,infiniteness,开启正念与慈悲大爱,
开发觉醒潜质,tap into the potential for awakening,开启正念与慈悲大爱,
依正不二,"circumstantial and direct retributions are not two (direct retribution refers to sentient beings, while the circumstantial retribution is the dependent condition or environment)
Direct and circumstantial rewards are not separate.","开启正念与慈悲大爱
禅意设计“十二字箴言”",
人生佛教,Humanistic Buddhism,开启正念与慈悲大爱,
开示,discourse for xx,东方智慧在当今世界的价值,
儒释道,"Confucianism, Buddhism and Taoism",东方智慧在当今世界的价值,
有共同的血统,share a common ancestry,东方智慧在当今世界的价值,
东方文化的道统,the traditions of Eastern culture,东方智慧在当今世界的价值,
传承,"inherit, succeed through someone
pass on","东方智慧在当今世界的价值
煮茶观心",
自利利他,benefit oneself and others,东方智慧在当今世界的价值,
自觉觉他,awaken oneself and others,东方智慧在当今世界的价值,
造就佛菩萨品质,embody the qualities of buddha and bodhisattvas,东方智慧在当今世界的价值,
心性思想/心性理论,the nature of the mind,东方智慧在当今世界的价值,
因果理论,theories of causality,东方智慧在当今世界的价值,
善根福德因缘,"the virtuous roots and merit, causes and conditions for xx",东方智慧在当今世界的价值,
菩提大道,the journey toward enlightenment,东方智慧在当今世界的价值,
舍凡夫心,abandon the mundane mind,东方智慧在当今世界的价值,
自我觉醒,self-awareness,东方智慧在当今世界的价值,
点亮心灯,illuminate one's heart,东方智慧在当今世界的价值,
善人,a kind person,东方智慧在当今世界的价值,
成佛作祖,attain Buddhahood,东方智慧在当今世界的价值,
菩提,enlightenment,东方智慧在当今世界的价值,
吃斋/吃素,vegetarian meals,东方智慧在当今世界的价值,
拜佛,worshiping,东方智慧在当今世界的价值,
禅茶,"tea meditation
Dhyana Tea","东方智慧在当今世界的价值
佛法在家庭教育中的运用",
在佛法智慧统摄下,under the umbrella of Buddhist wisdom,东方智慧在当今世界的价值,
心行/心态,mindsets,东方智慧在当今世界的价值,
菩提心教法,the teaching of the bodhicitta,东方智慧在当今世界的价值,
末法时代,the Degenerate Age of Dharma,东方智慧在当今世界的价值,
经律论三藏,the Tripitaka,东方智慧在当今世界的价值-文以载道,
译场,translation center,东方智慧在当今世界的价值-文以载道,
梵文,Sanskrit,东方智慧在当今世界的价值-文以载道,
法的修证,understanding and realization of the Dharma,东方智慧在当今世界的价值-文以载道,
薄伽梵,Bhagavan ,东方智慧在当今世界的价值-文以载道,
陀罗尼神咒,the dharani mantras,东方智慧在当今世界的价值-文以载道,
法之殊胜,the sublime nature of the Dharma,东方智慧在当今世界的价值-文以载道,
庵摩罗果,Amalaka,东方智慧在当今世界的价值-文以载道,
南传佛教,Theravada Buddhism,东方智慧在当今世界的价值-文以载道,
汉传佛教,Chinese Buddhism,东方智慧在当今世界的价值-文以载道,
藏传佛教,Tibetan Buddhism,东方智慧在当今世界的价值-文以载道,
巴利语系、汉语系和藏语系,"the Pali, Chinese, and Tibetan traditions",东方智慧在当今世界的价值-文以载道,
四众弟子,the four groups of disciples,东方智慧在当今世界的价值-文以载道,
世俗生活,secular life,东方智慧在当今世界的价值-文以载道,
弘法/传播佛法,"the dissemination of Buddhism/the propagation of the Dharma/Dharma propagation/spread the Dharma/propagate the Dharma
spread the teachings of Buddhism",东方智慧在当今世界的价值-文以载道,
使命感,a sense of mission,东方智慧在当今世界的价值-文以载道,
契理契机的原则,the principle of understanding both the doctrine and the audience’s mentality,东方智慧在当今世界的价值-文以载道,
契理,be in line with Dharma,东方智慧在当今世界的价值-文以载道,
佛法义理,the meaning and principles of Buddha Dharma,东方智慧在当今世界的价值-文以载道,
契机,consider the audience’s mentality and cultural background,东方智慧在当今世界的价值-文以载道,
和佛法结缘,connect with the Dharma,东方智慧在当今世界的价值-文以载道,
共业,collective karma,东方智慧在当今世界的价值-文以载道,
圆寂,the perfect extinction,《六祖坛经》与心理治疗,
共法,common practice,《六祖坛经》与心理治疗,
修定,cultivate meditative concentration,《六祖坛经》与心理治疗,
渐教,gradual teaching,《六祖坛经》与心理治疗,
顿教,sudden teaching / sudden enlightment teaching,《六祖坛经》与心理治疗,
烦恼即菩提,afflictions are themselves Bodhi,《六祖坛经》与心理治疗,
一念,a single thought,《六祖坛经》与心理治疗,
小根之人,people of limited faculties,《六祖坛经》与心理治疗,
见性,see one's true nature,《六祖坛经》与心理治疗,
布施法门,the practice of Generosity,《六祖坛经》与心理治疗,
忍辱法门,the practice of Patience,《六祖坛经》与心理治疗,
圆满的心,the complete mind,《六祖坛经》与心理治疗,
无记空,undifferentiated emptiness,《六祖坛经》与心理治疗,
须弥山 ,sumeru,《六祖坛经》与心理治疗,
不染一法,not tainted by any single dharma,《六祖坛经》与心理治疗,
正知,Right Knowing,《六祖坛经》与心理治疗,
自悟,self-realization,《六祖坛经》与心理治疗,
自度,self-liberation,《六祖坛经》与心理治疗,
师度,the guidance of a teacher,《六祖坛经》与心理治疗,
大善知识,the great and wise teacher /a great Good Knowing Advisor,《六祖坛经》与心理治疗,
自性自度,rely on my self-nature to guide myself,《六祖坛经》与心理治疗,
